주,C: (대한민국),python: (대한민국),C#: (대한민국),C: (대한민국),JAVA: (대한민국),GO: (대한민국),Visual Basic: (대한민국),JavaScript: (대한민국),Assembly language: (대한민국),SQL: (대한민국),PHP: (대한민국),Objective-C: (대한민국),Delphi/Object Pascal: (대한민국),MATLAB: (대한민국),Fortran: (대한민국),Swift: (대한민국),Classic Visual Basic: (대한민국),R: (대한민국),Perl: (대한민국),Ruby: (대한민국)
2018-05-20,64,45,33,64,44,78,1,62,<1,34,42,1,0,33,1,22,0,97,2,9
2018-05-27,72,54,39,72,57,79,1,68,0,45,50,0,0,36,2,23,0,97,2,13
2018-06-03,68,52,35,68,48,79,1,57,0,39,46,0,0,39,3,31,0,98,0,10
2018-06-10,67,46,35,67,51,76,1,57,0,35,42,0,0,27,2,24,0,93,2,18
2018-06-17,61,50,37,61,51,84,0,64,1,46,42,1,0,29,1,23,0,84,2,0
2018-06-24,53,51,37,53,50,88,0,66,1,37,45,0,0,20,2,27,0,77,2,8
2018-07-01,53,52,37,53,52,82,1,61,0,40,47,0,0,22,1,26,0,86,3,15
2018-07-08,54,50,41,54,50,89,1,64,0,44,48,1,0,18,0,26,0,86,1,15
2018-07-15,55,52,38,55,50,87,1,64,0,38,49,0,0,26,0,29,0,83,2,0
2018-07-22,51,53,37,51,46,84,1,65,0,38,47,1,0,22,0,27,0,87,2,6
2018-07-29,51,55,35,51,50,81,1,58,0,38,45,1,0,25,1,29,0,82,2,0
2018-08-05,49,49,35,49,44,76,1,64,0,35,46,2,0,23,3,25,0,86,1,15
2018-08-12,44,42,28,44,39,77,1,48,0,32,43,1,0,23,4,21,0,74,3,17
2018-08-19,49,49,36,49,45,79,1,62,0,37,42,1,0,21,1,27,0,81,1,13
2018-08-26,49,46,36,49,47,75,2,57,0,36,38,0,0,19,0,22,0,78,4,11
2018-09-02,53,50,37,53,51,77,1,59,0,39,43,1,0,28,0,27,0,86,4,0
2018-09-09,64,56,39,64,56,82,2,64,1,39,46,<1,0,29,3,27,0,88,1,22
2018-09-16,65,50,37,65,48,84,1,57,0,44,42,0,0,30,1,23,0,86,1,0
2018-09-23,51,40,21,51,32,82,1,33,0,21,30,0,0,23,0,18,0,72,1,8
2018-09-30,69,48,32,69,47,77,1,50,0,33,36,0,0,32,0,18,0,80,1,14
2018-10-07,63,46,31,63,44,73,1,51,0,33,37,0,0,24,1,21,0,92,2,0
2018-10-14,68,46,35,68,54,81,1,59,0,43,46,0,0,28,<1,23,0,86,2,0
2018-10-21,62,50,35,62,46,79,1,56,0,38,39,0,0,27,2,24,0,88,1,16
2018-10-28,69,50,34,69,50,84,1,62,0,42,52,0,0,32,0,25,0,92,3,0
2018-11-04,66,58,39,66,49,80,1,60,1,44,45,1,0,29,2,22,0,89,3,7
2018-11-11,66,59,37,66,50,86,1,61,0,39,41,0,0,34,1,24,0,88,2,22
2018-11-18,67,53,36,67,48,88,1,65,0,42,47,1,0,34,2,25,0,92,3,0
2018-11-25,64,53,36,64,51,87,1,63,0,48,42,0,0,35,1,23,0,90,2,9
2018-12-02,73,54,35,73,51,80,1,58,0,49,43,0,0,32,2,24,0,83,1,0
2018-12-09,68,50,36,68,48,83,2,62,1,42,41,1,0,32,1,24,0,90,0,0
2018-12-16,60,47,34,60,47,91,2,59,0,40,41,1,0,24,1,25,0,77,1,0
2018-12-23,47,36,25,47,32,81,0,42,0,26,37,0,0,17,1,20,0,60,1,7
2018-12-30,47,42,27,47,34,76,1,41,1,30,40,0,0,15,1,21,0,70,4,17
2019-01-06,54,50,37,54,48,85,0,59,0,40,40,0,0,21,0,24,0,81,2,6
2019-01-13,50,50,36,50,46,81,1,53,1,37,34,0,0,21,2,25,0,72,2,0
2019-01-20,49,48,36,49,44,77,2,57,0,34,45,1,0,20,1,26,0,69,2,0
2019-01-27,50,52,34,50,44,79,2,60,0,35,44,0,0,19,0,25,0,68,1,0
2019-02-03,41,32,20,41,25,76,1,30,0,18,24,1,0,11,1,15,0,63,0,19
2019-02-10,48,51,37,48,45,70,0,62,0,34,43,0,0,20,<1,23,0,78,1,0
2019-02-17,48,47,36,48,49,72,1,55,0,38,40,1,0,20,0,26,0,75,1,5
2019-02-24,51,45,30,51,42,73,1,56,0,35,43,1,0,16,1,25,0,73,2,8
2019-03-03,62,53,37,62,53,75,1,59,0,41,40,2,0,26,2,23,0,82,2,0
2019-03-10,66,58,37,66,57,71,1,58,0,41,46,2,0,27,2,23,0,80,1,0
2019-03-17,67,62,38,67,54,79,<1,64,1,37,45,1,0,33,3,23,0,87,2,0
2019-03-24,77,64,36,77,52,73,1,62,0,43,45,0,0,38,2,25,0,93,0,11
2019-03-31,81,65,34,81,52,77,1,58,1,43,43,1,0,33,1,26,0,86,2,9
2019-04-07,84,66,37,84,49,74,0,62,1,43,42,0,0,33,0,24,0,92,2,5
2019-04-14,74,59,40,74,50,80,1,59,1,46,45,1,0,28,1,28,0,89,1,0
2019-04-21,68,53,36,68,49,79,0,55,0,41,37,1,0,25,1,25,0,84,2,12
2019-04-28,63,49,34,63,43,79,0,48,0,31,41,<1,0,29,1,28,0,83,2,0
2019-05-05,66,62,30,66,47,75,2,50,<1,39,43,1,0,28,1,23,0,80,1,6
2019-05-12,68,58,33,68,50,81,0,63,4,37,44,0,0,32,0,26,0,86,1,0
2019-05-19,72,67,35,72,50,78,1,57,0,39,46,0,0,31,3,25,0,83,1,9
2019-05-26,72,63,33,72,61,75,2,61,1,46,45,1,0,31,1,24,0,94,1,0
2019-06-02,70,57,32,70,49,83,3,49,0,40,40,0,0,31,1,23,0,90,2,20
2019-06-09,68,58,36,68,48,73,1,59,<1,46,48,1,0,32,1,23,0,84,1,0
2019-06-16,62,56,36,62,49,76,2,61,0,47,43,0,0,23,1,30,0,75,2,0
2019-06-23,57,60,33,57,42,72,1,55,0,45,41,0,0,16,1,26,0,76,2,0
2019-06-30,59,64,35,59,48,78,0,60,0,44,44,0,0,20,1,25,0,79,1,0
2019-07-07,58,65,35,58,46,78,1,60,0,41,44,0,0,20,2,27,0,79,1,9
2019-07-14,53,63,31,53,49,84,1,69,0,41,39,0,0,18,1,22,0,75,2,6
2019-07-21,49,57,28,49,47,72,1,61,0,36,36,0,0,17,1,24,0,78,0,13
2019-07-28,46,53,25,46,42,82,1,58,0,32,35,0,0,18,1,23,0,68,2,15
2019-08-04,46,57,29,46,42,76,2,59,0,37,35,0,0,16,1,23,0,72,2,0
2019-08-11,47,51,27,47,39,73,0,52,0,34,35,1,0,18,2,25,0,70,1,0
2019-08-18,57,63,35,57,50,79,1,58,0,48,46,1,0,20,3,31,0,83,2,0
2019-08-25,57,57,33,57,47,73,1,60,0,40,44,0,0,18,3,28,0,73,1,11
2019-09-01,60,63,39,60,50,82,1,61,0,42,38,<1,0,21,2,24,0,74,<1,12
2019-09-08,54,45,24,54,34,76,0,46,0,29,33,0,0,18,2,19,0,76,2,0
2019-09-15,64,68,35,64,56,79,0,59,0,44,44,0,0,27,2,26,0,86,2,0
2019-09-22,73,62,34,73,55,89,1,61,0,41,42,2,0,30,2,24,0,84,1,0
2019-09-29,69,58,31,69,44,81,2,43,0,40,37,0,0,30,2,21,0,81,2,0
2019-10-06,70,61,30,70,51,80,1,51,0,42,38,1,0,29,<1,19,0,87,1,0
2019-10-13,73,64,35,73,57,80,2,62,1,48,43,<1,0,29,1,24,0,91,1,15
2019-10-20,67,61,35,67,50,84,1,59,0,45,44,0,0,21,1,21,0,82,<1,10
2019-10-27,69,61,36,69,49,85,1,58,<1,44,43,0,0,26,1,21,0,81,2,0
2019-11-03,70,64,36,70,53,84,1,62,0,43,40,1,0,27,1,22,0,84,2,0
2019-11-10,71,61,34,71,52,81,2,60,0,43,39,1,0,24,1,20,0,83,3,23
2019-11-17,69,64,36,69,54,84,1,58,0,49,49,0,0,33,1,20,0,87,1,0
2019-11-24,69,67,36,69,48,89,2,65,0,47,45,1,0,35,2,22,0,87,2,30
2019-12-01,73,62,37,73,51,85,1,61,1,47,41,0,0,31,2,26,0,86,1,0
2019-12-08,69,63,37,69,46,82,3,61,0,45,40,0,0,28,2,23,0,85,2,31
2019-12-15,67,59,33,67,49,86,2,59,0,42,45,0,0,23,0,23,0,75,1,0
2019-12-22,56,48,29,56,39,89,1,49,0,35,35,0,0,16,1,23,0,68,0,0
2019-12-29,52,47,28,52,34,86,2,44,0,33,34,1,0,16,1,21,0,65,2,0
2020-01-05,52,59,33,52,43,83,1,58,0,37,38,1,0,19,1,25,0,73,2,13
2020-01-12,58,62,38,58,49,81,1,61,<1,42,41,0,0,20,1,25,0,67,3,0
2020-01-19,53,54,32,53,39,78,1,45,0,28,34,0,0,16,1,21,0,64,2,0
2020-01-26,54,49,30,54,42,73,1,54,<1,33,35,0,0,15,1,22,0,67,1,0
2020-02-02,57,61,36,57,49,77,1,65,0,44,43,0,0,20,1,28,0,72,1,0
